0;1;2
C1.03.09.03.01::gdiogo;5;104.48
C1.03.09.03.01::gdiogo;6;104.33
C1.03.09.03.01::gdiogo;7;
C1.03.09.03.01::gdiogo;8;
C1.03.10.20::saldemir;1;82.48
C1.03.10.20::saldemir;2;82.78
C1.03.10.20::saldemir;3;87.07
C1.03.10.20::saldemir;4;87.07
C1.03.10.20::saldemir;5;87.15
C1.03.10.20::saldemir;6;58.95
C1.03.10.20::saldemir;7;
C1.03.10.20::saldemir;8;
C1.03.10.29::crenata;1;25.45
C1.03.10.29::crenata;2;25.24
C1.03.10.29::crenata;3;25.21
C1.03.10.29::crenata;4;54.78
C1.03.10.29::crenata;5;79.71
C1.03.10.29::crenata;6;79.58
C1.03.10.29::crenata;7;
C1.03.10.29::crenata;8;
C1.03.10.28::rwaldeir;1;90.56
C1.03.10.28::rwaldeir;2;88.63
C1.03.10.28::rwaldeir;3;111.66
C1.03.10.28::rwaldeir;4;111.38
C1.03.10.28::rwaldeir;5;110.15
C1.03.10.28::rwaldeir;6;115.46
C1.03.10.28::rwaldeir;7;
C1.03.10.28::rwaldeir;8;
C1.03.10.44::arenato;1;65.83
C1.03.10.44::arenato;2;64.03
C1.03.10.44::arenato;3;79.93
C1.03.10.44::arenato;4;79.81
C1.03.10.44::arenato;5;79.34
C1.03.10.44::arenato;6;77.4
C1.03.10.44::arenato;7;77.49
C1.03.10.44::arenato;8;
C1.03.10.40::umariza;1;49.75
C1.03.10.40::umariza;2;49.75
C1.03.10.40::umariza;3;77.39
C1.03.10.40::umariza;4;77.43
C1.03.10.40::umariza;5;77.47
C1.03.10.40::umariza;6;74.78
C1.03.10.40::umariza;7;
C1.03.10.40::umariza;8;
C1.03.10.41::tnuor;1;55.21
C1.03.10.41::tnuor;2;55.97
C1.03.10.41::tnuor;3;77.78
C1.03.10.41::tnuor;4;78.12
C1.03.10.41::tnuor;5;77.45
C1.03.10.41::tnuor;6;95.02
C1.03.10.41::tnuor;7;
C1.03.10.41::tnuor;8;
C1.03.10.42::fjoao;1;77.15
C1.03.10.42::fjoao;2;80.06
C1.03.10.42::fjoao;3;102.66
C1.03.10.42::fjoao;4;105.61
C1.03.10.42::fjoao;5;104.82
C1.03.10.42::fjoao;6;102.13
C1.03.10.42::fjoao;7;18.3
C1.03.10.42::fjoao;8;
C1.03.07.36::pfernando;1;57.05
C1.03.07.36::pfernando;2;57.05
C1.03.07.36::pfernando;3;78.95
C1.03.07.36::pfernando;4;79.06
C1.03.07.36::pfernando;5;79.06
C1.03.07.36::pfernando;6;56.97
C1.03.07.36::pfernando;7;
C1.03.07.36::pfernando;8;
C1.01::sqbruno;1;
C1.01::sqbruno;2;
C1.01::sqbruno;3;
C1.01::sqbruno;4;
C1.01::sqbruno;5;
C1.01::sqbruno;6;
C1.01::sqbruno;7;
C1.01::sqbruno;8;
C1.01::npupo;1;93.09
C1.01::npupo;2;85.65
C1.01::npupo;3;90.72
C1.01::npupo;4;90.42
C1.01::npupo;5;89.92
C1.01::npupo;6;88.44
C1.01::npupo;7;0.0
C1.01::npupo;8;
C1.01::mjulio;1;
C1.01::mjulio;2;
C1.01::mjulio;3;
C1.01::mjulio;4;
C1.01::mjulio;5;
C1.01::mjulio;6;
C1.01::mjulio;7;
C1.01::mjulio;8;
C1.01.04::canaguiomar;1;96.87
C1.01.04::canaguiomar;2;90.87
C1.01.04::canaguiomar;3;110.46
C1.01.04::canaguiomar;4;90.53
C1.01.04::canaguiomar;5;90.92
C1.01.04::canaguiomar;6;90.06
C1.01.04::canaguiomar;7;0.0
C1.01.04::canaguiomar;8;
C1.01.04::smarcia;1;
C1.01.04::smarcia;2;
C1.01.04::smarcia;3;
C1.01.04::smarcia;4;
C1.01.04::smarcia;5;
C1.01.04::smarcia;6;
C1.01.04::smarcia;7;
C1.01.04::smarcia;8;
C1.01.04::ssarah;1;
C1.01.04::ssarah;2;
C1.01.04::ssarah;3;
C1.01.04::ssarah;4;
C1.01.04::ssarah;5;
C1.01.04::ssarah;6;
C1.01.04::ssarah;7;
C1.01.04::ssarah;8;
C1.01.04.02::ldafne;1;99.41
C1.01.04.02::ldafne;2;97.61
C1.01.04.02::ldafne;3;94.58
C1.01.04.02::ldafne;4;94.31
C1.01.04.02::ldafne;5;93.93
C1.01.04.02::ldafne;6;114.98
C1.01.04.02::ldafne;7;19.06
C1.01.04.02::ldafne;8;
C1.03.09.05::ocamila;1;93.47
C1.03.09.05::ocamila;2;92.73
C1.03.09.05::ocamila;3;111.49
C1.03.09.05::ocamila;4;111.13
C1.03.09.05::ocamila;5;110.51
C1.03.09.05::ocamila;6;110.53
C1.03.09.05::ocamila;7;
C1.03.09.05::ocamila;8;
C1.03.09.10::ganne;1;47.23
C1.03.09.10::ganne;2;50.02
C1.03.09.10::ganne;3;52.0
C1.03.09.10::ganne;4;52.0
C1.03.09.10::ganne;5;52.0
C1.03.09.10::ganne;6;91.0
C1.03.09.10::ganne;7;39.0
C1.03.09.10::ganne;8;
C1.03.05.03.01::aclara;1;56.8
C1.03.05.03.01::aclara;2;69.52
C1.03.05.03.01::aclara;3;88.9
C1.03.05.03.01::aclara;4;91.94
C1.03.05.03.01::aclara;5;90.34
C1.03.05.03.01::aclara;6;88.81
