0;1
ACT009375;4
ACT009375;5
ACT009375;6
ACT009375;7
ACT009375;8
ACT009373;7
ACT009373;8
ACT009373;9
ACT009373;10
ACT009377;8
ACT009377;9
ACT009378;8
ACT009378;9
ACT009345;4
ACT009345;5
ACT009345;6
ACT009345;7
ACT009345;8
ACT009345;9
ACT009345;10
ACT009345;11
ACT009350;7
ACT009350;8
ACT009350;9
ACT009350;10
ACT009350;11
ACT009302;4
ACT009302;5
ACT009302;6
ACT009302;7
ACT009302;8
ACT009302;9
ACT009302;10
ACT009302;11
ACT009351;7
ACT009351;8
ACT009351;9
ACT009351;10
ACT009351;11
ACT009341;4
ACT009341;5
ACT009341;6
ACT009341;7
ACT009341;8
ACT009341;9
ACT009341;10
ACT009341;11
ACT009342;4
ACT009342;5
ACT009342;6
ACT009342;7
ACT009342;8
ACT009342;9
ACT009342;10
ACT009342;11
ACT009343;4
ACT009343;5
ACT009343;6
ACT009343;7
ACT009343;8
ACT009343;9
ACT009343;10
ACT009343;11
ACT009344;4
ACT009344;5
ACT009344;6
ACT009344;7
ACT009344;8
ACT009344;9
ACT009344;10
ACT009344;11
ACT009352;7
ACT009352;8
ACT009352;9
ACT009352;10
ACT009352;11
ACT009359;7
ACT009359;8
ACT009359;9
ACT009359;10
ACT009359;11
ACT009359;12
ACT009357;4
ACT009357;5
ACT009357;6
ACT009357;7
ACT009357;8
ACT009357;9
ACT009357;10
ACT009357;11
ACT009357;12
ACT009358;7
ACT009358;8
ACT009358;9
ACT009360;4
ACT009360;5
ACT009360;6
ACT009360;7
ACT009360;8
ACT009360;9
ACT009360;10
ACT009360;11
ACT009360;12
ACT009296;7
ACT009296;8
ACT009296;9
ACT009297;7
ACT009297;8
ACT009297;9
ACT009297;10
ACT009300;7
ACT009300;8
ACT009300;9
ACT009300;10
ACT009300;11
ACT009300;12
ACT009301;7
ACT009301;8
ACT009301;9
ACT009301;10
ACT009299;7
ACT009299;8
ACT009299;9
ACT009299;10
ACT009299;11
ACT009315;7
ACT009315;8
ACT009274;4
ACT009274;5
ACT009274;6
ACT009317;5
ACT009317;6
ACT009317;7
ACT009275;4
ACT009275;5
ACT009275;6
ACT009275;7
ACT009277;7
ACT009277;8
ACT009277;9
ACT009277;10
ACT009277;11
ACT009277;12
ACT009278;5
ACT009278;6
ACT009278;7
ACT009278;8
ACT009276;6
ACT009276;7
ACT009276;8
ACT009276;9
ACT009276;10
ACT009276;11
ACT009276;12
ACT009314;8
ACT009310;6
ACT009310;7
ACT009310;8
ACT009310;9
ACT009311;5
ACT009311;6
ACT009311;7
ACT009311;8
ACT009311;9
ACT009312;6
ACT009312;7
ACT009312;8
ACT009312;9
ACT009316;7
ACT009316;8
ACT009318;3
ACT009318;4
ACT009318;5
ACT009318;6
ACT009320;1
ACT009320;2
ACT009320;3
ACT009320;4
ACT009322;6
ACT009322;7
ACT009323;7
ACT009326;7
ACT009340;7
ACT009340;8
ACT009339;7
ACT009339;8
ACT009338;7
ACT009338;8
ACT009347;7
ACT009347;8
ACT009353;7
ACT009353;8
ACT009346;7
ACT009346;8
ACT009288;8
ACT009288;9
ACT009288;10
ACT009288;11
ACT009284;6
ACT009284;7
ACT009284;8
ACT009284;9
ACT009284;10
ACT009289;5
ACT009289;6
ACT009289;7
ACT009289;8
ACT009289;9
ACT009290;6
ACT009290;7
ACT009290;8
ACT009291;3
ACT009291;4
ACT009291;5
ACT009291;6
ACT009291;7
ACT009292;5
ACT009292;6
ACT009292;7
ACT009298;7
ACT009298;8
ACT009298;9
ACT009327;7
ACT009328;7
ACT009329;7
ACT009330;7
ACT009330;8
ACT009335;7
ACT009335;8
ACT009332;3
ACT009332;4
ACT009332;5
ACT009332;6
ACT009334;7
ACT009348;7
ACT009348;8
ACT009349;7
ACT009349;8
ACT009313;8
ACT009313;9
ACT009313;10
ACT009313;11
ACT009313;12
ACT009319;8
ACT009319;9
ACT009319;10
ACT009319;11
ACT009319;12
ACT009321;8
ACT009321;9
ACT009321;10
ACT009321;11
ACT009321;12
ACT009324;8
ACT009324;9
ACT009324;10
ACT009324;11
ACT009324;12
ACT009331;8
ACT009331;9
ACT009331;10
ACT009331;11
ACT009331;12
ACT009333;8
ACT009333;9
ACT009333;10
ACT009333;11
ACT009333;12
ACT009305;4
ACT009305;5
ACT009304;4
ACT009304;5
ACT009361;5
ACT009362;7
ACT009362;8
ACT009362;9
ACT009362;10
ACT009362;11
ACT009362;12
ACT009363;7
ACT009363;8
ACT009363;9
ACT009364;8
ACT009364;9
ACT009364;10
ACT009364;11
ACT009364;12
ACT009337;7
ACT009282;4
ACT009283;4
ACT009286;7
ACT009286;8
ACT009286;9
ACT009286;10
ACT009279;1
ACT009279;2
ACT009279;3
ACT009370;7
ACT009370;8
ACT009303;8
ACT009325;7
ACT009325;8
ACT009285;4
ACT009285;5
ACT009309;8
ACT009309;9
ACT009309;10
ACT009287;4
ACT009280;4
ACT009281;4
ACT009336;7
ACT009307;6
ACT009354;5
ACT009354;6
ACT009306;5
ACT009356;5
ACT009356;6
ACT009355;6
ACT009355;7
ACT009365;7
ACT009365;8
ACT009366;7
ACT009366;8
ACT009367;7
ACT009367;8
ACT009368;7
ACT009368;8
ACT009368;9
ACT009368;10
ACT009368;11
ACT009368;12
ACT009369;7
ACT009369;8
ACT009294;6
ACT009294;7
ACT009295;7
ACT009295;8
ACT009295;9
ACT009295;10
ACT009293;5
ACT009293;6
ACT009293;7
ACT009293;8
ACT009293;9
ACT009273;6
ACT009273;7
ACT009273;8
ACT009273;9
ACT009273;10
ACT009379;8
